Image name,Image url link,Image url link,Image,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5,translation
uni-ucl-jud-0015042-001-0003L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0003L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0003L.jpg,,None,,monochrome,,,,,,,,,,,,
uni-ucl-jud-0015042-001-0004R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0004R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0004R.jpg,,Title page,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,,,,,,,,,
uni-ucl-jud-0015042-001-0005L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0005L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0005L.jpg,,None,,monochrome,,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0006R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0006R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0006R.jpg,,None,,monochrome,Bii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0007L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0007L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0007L.jpg,,None,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0008R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0008R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0008R.jpg,,Chapter page,,monochrome,Biii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0009L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0009L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0009L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0010R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0010R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0010R.jpg,,Chapter page,,monochrome,Biiii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0011L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0011L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0011L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0012R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0012R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0012R.jpg,,Chapter page,,monochrome,Bv,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
