Image name,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5
uni-ucl-jud-0015088-000-0000B.jpg,Back board,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0000F.jpg,Front board,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0000S.jpg,Spine,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0000X.jpg,Head edge,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0000Y.jpg,Tail edge,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0000Z.jpg,Foredge,,colour,,,,,,,,,,,
uni-ucl-jud-0015088-000-0001L.jpg,Front endpaper,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,,,,,,,,
uni-ucl-jud-0015088-000-0002R.jpg,Front endpaper,,monochrome,,Portrait,1,,,,,,,,
uni-ucl-jud-0015088-000-0003L.jpg,Back endpaper,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-000-0004R.jpg,Back endpaper,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0001L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0002R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0003L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0004R.jpg,Title page,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0005L.jpg,None,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,,,,,,,,
uni-ucl-jud-0015088-001-0006R.jpg,None,,monochrome,.+.ii.,Illuminated lettering,1,,,,,,,,
uni-ucl-jud-0015088-001-0007L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0008R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0009L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0010R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0011L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0012R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0013L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0014R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0015L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0016R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0017L.jpg,None,,monochrome,,Illustration,1,,,,,,,,
uni-ucl-jud-0015088-001-0018R.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0019L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0020R.jpg,None,,monochrome,Fol.ii.|A.ii.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0021L.jpg,None,,monochrome,,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0022R.jpg,None,,monochrome,Fol.iii.|A.iii.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0023L.jpg,None,,monochrome,,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0024R.jpg,None,,monochrome,Fol.iiii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0025L.jpg,None,,monochrome,,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0026R.jpg,None,,monochrome,Fol.v.,,,,,,,,,,
uni-ucl-jud-0015088-001-0027L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0028R.jpg,None,,monochrome,Fol.vi.,,,,,,,,,,
uni-ucl-jud-0015088-001-0029L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0030R.jpg,None,,monochrome,Fol.vii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0031L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0032R.jpg,None,,monochrome,Fol.viii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0033L.jpg,None,,monochrome,,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0034R.jpg,None,,monochrome,Fol.ix.|B.i.,,,,,,,,,,
uni-ucl-jud-0015088-001-0035L.jpg,None,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,,,,,,,,
uni-ucl-jud-0015088-001-0036R.jpg,None,,monochrome,Fol.x.|B.ii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0037L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0038R.jpg,None,,monochrome,Fol.xi.|B.iii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0039L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0040R.jpg,None,,monochrome,Fol.xii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0041L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0042R.jpg,None,,monochrome,Fol.xiii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0043L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0044R.jpg,None,,monochrome,Fol.xiiii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0045L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0046R.jpg,None,,monochrome,Fol.xv.,,,,,,,,,,
uni-ucl-jud-0015088-001-0047L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0048R.jpg,None,,monochrome,Fol.xvi,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0049L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0050R.jpg,None,,monochrome,Fol.xvii.|C.i.,,,,,,,,,,
uni-ucl-jud-0015088-001-0051L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0052R.jpg,None,,monochrome,Fol.xviii|C.ii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0053L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0054R.jpg,None,,monochrome,Fo.xix|C.iii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0055L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0056R.jpg,None,,monochrome,Fol.xx.|C.iiii.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0057L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0058R.jpg,None,,monochrome,Fol.xxi.,,,,,,,,,,
uni-ucl-jud-0015088-001-0059L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0060R.jpg,None,,monochrome,Fol.xxii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0061L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0062R.jpg,None,,monochrome,Fol.xxiii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0063L.jpg,None,,monochrome,,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0064R.jpg,None,,monochrome,Fol.xxiiii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0065L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0066R.jpg,None,,monochrome,Fol.xxv.|D.i.,,,,,,,,,,
uni-ucl-jud-0015088-001-0067L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0068R.jpg,None,,monochrome,Fol.xxvi.|D.ii.,,,,,,,,,,
uni-ucl-jud-0015088-001-0069L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0070R.jpg,None,,monochrome,Fol.xxvii.|D.iii.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0071L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0072R.jpg,None,,monochrome,Fol.xxviii.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0073L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0074R.jpg,None,,monochrome,Fol.xxix.,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015088-001-0075L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0076R.jpg,None,,monochrome,Fol.xxx.,,,,,,,,,,
uni-ucl-jud-0015088-001-0077L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0078R.jpg,None,,monochrome,Fol.xxxi,,,,,,,,,,
uni-ucl-jud-0015088-001-0079L.jpg,None,,monochrome,,,,,,,,,,,
uni-ucl-jud-0015088-001-0080R.jpg,None,,monochrome,Fol.xxxii.,,,,,,,,,,
