Image name,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5
uni-ucl-jud-0015053-002-0016L.jpg,None,,monochrome,16,,,,,,,,,,
uni-ucl-jud-0015053-002-0017R.jpg,None,,monochrome,17|B,,,,,,,,,,
uni-ucl-jud-0015053-002-0018L.jpg,None,,monochrome,18,,,,,,,,,,
uni-ucl-jud-0015053-002-0019R.jpg,None,,monochrome,19|B2,Printed marginalia,1,,,,,,,,
uni-ucl-jud-0015053-002-0020L.jpg,None,,monochrome,20,,,,,,,,,,
uni-ucl-jud-0015053-002-0021R.jpg,None,,monochrome,21|B3,,,,,,,,,,
uni-ucl-jud-0015053-002-0022L.jpg,Chapter page,,monochrome,22,Illuminated lettering,1,,,,,,,,
uni-ucl-jud-0015053-002-0023R.jpg,None,,monochrome,23|B4,,,,,,,,,,
uni-ucl-jud-0015053-002-0024L.jpg,None,,monochrome,24,,,,,,,,,,
uni-ucl-jud-0015053-002-0025R.jpg,None,,monochrome,25|B5,,,,,,,,,,
uni-ucl-jud-0015053-002-0026L.jpg,None,,monochrome,26,,,,,,,,,,
uni-ucl-jud-0015053-002-0027R.jpg,Chapter page,,monochrome,27,,,,,,,,,,
uni-ucl-jud-0015053-002-0028L.jpg,None,,monochrome,28,,,,,,,,,,
uni-ucl-jud-0015053-002-0029R.jpg,None,,monochrome,29,,,,,,,,,,
uni-ucl-jud-0015053-002-0030L.jpg,Chapter page,,monochrome,30,Illuminated lettering,1,,,,,,,,
uni-ucl-jud-0015053-002-0031R.jpg,None,,monochrome,31,,,,,,,,,,
uni-ucl-jud-0015053-002-0032L.jpg,None,,monochrome,32,,,,,,,,,,
uni-ucl-jud-0015053-002-0033R.jpg,None,,monochrome,33|C,,,,,,,,,,
uni-ucl-jud-0015053-002-0034L.jpg,None,,monochrome,34,,,,,,,,,,
uni-ucl-jud-0015053-002-0035R.jpg,None,,monochrome,35|C2,,,,,,,,,,
